index	representative	orbit_size	orbit_words
70	1111222343324344	16	1111222343324344,1112223433142434,1122134321423344,1211342213233444,1112322132334444,1123211323244434,1231112232443344,1211122324333444,1111223243324434,1112232433144234,1122314321432344,1213142213323444,1121322133234444,1213211322344434,1122113223443344,1211132234432434
71	1111222343324434	8	1111222343324434,1112223433144234,1122134321432344,1211342213323444,1112322133234444,1123211322344434,1231112223443344,1211122234333444
72	1111222343342344	16	1111222343342344,1112223433412434,1122134324123344,1211342231233444,1112322312334444,1123213123244434,1231121232443344,1211212324333444,1112123243324434,1121232433144234,1212314321432344,1123142213323444,1231421132234434,1213211322344344,1122113223443434,1211132234434234
73	1111222343342434	16	1111222343342434,1112223433414234,1122134324132344,1211342231323444,1112322313234444,1123213122344434,1231121223443344,1211212234333444,1112122343324434,1121223433144234,1212134321432344,1121342213323444,1213421132234434,1123211322344344,1231112223443434,1211122234334344
74	1111222343344234	16	1111222343344234,1112223433441234,1122134324312344,1211342233123444,1112322331234444,1123213212344434,1231122123443344,1211221234333444,1112212343324434,1122123433144234,1211234321432344,1112342213323444,1123421132234434,1234111222343344,1231112223433444,1211122234334434
75	1111222343423344	16	1111222343423344,1112223434132434,1122134341223344,1211342312233444,1112323122334444,1123231213244434,1231212132443344,1212121324333444,1121213243324434,1212132433144234,1121324321432344,1213243114223434,1122331142234344,1213211422343434,1122113223434344,1211132234342434
76	1111222343423434	16	1111222343423434,1112223434134234,1122134341232344,1211342312323444,1112323123234444,1123231231244434,1231212312443344,1212123124333444,1121231243324434,1212312433144234,1123124321432344,1231243114223434,1212331142234344,1123211422343434,1231114223434234,1211132234342344
77	1111222343432344	16	1111222343432344,1112223434312434,1122134342123344,1211342321233444,1112323212334444,1123231123244434,1231211232443344,1212112324333444,1121123243324434,1211232433144234,1112324321432344,1123243114223434,1231421132234344,1213211322343444,1122113223434434,1211132234344234
78	1111222343432434	16	1111222343432434,1112223434314234,1122134342132344,1211342321323444,1112323213234444,1123231122344434,1231211223443344,1212112234333444,1121122343324434,1211223433144234,1112234321432344,1122343114223434,1213421132234344,1123211322343444,1231112223434434,1211122234343344
79	1111222343434234	16	1111222343434234,1112223434341234,1122134342312344,1211342323123444,1112323231234444,1123231212344434,1231212123443344,1212121234333444,1121212343324434,1212123433144234,1121234321432344,1212343114223434,1123421132234344,1234111222343434,1231112223434344,1211122234343434
80	1111223223343444	16	1111223223343444,1112232133424434,1122311324243344,1213112242333444,1121122323334444,1211223133244434,1112231322443344,1122313214432434,1213122143324344,1121221333243444,1212113322434434,1121132224343344,1211322143432434,1112221334324344,1122113342243434,1211132422334344
81	1111223223344344	16	1111223223344344,1112232133442434,1122311324423344,1213112243233444,1121122332334444,1211223313244434,1112233122443344,1122331214432434,1213212143324344,1122121333243444,1211213322434434,1112132224343344,1121322143432434,1213211434223344,1122113342233444,1211132422334434
82	1111223223344434	16	1111223223344434,1112232133444234,1122311324432344,1213112243323444,1121122333234444,1211223331244434,1112233212443344,1122331124432434,1213211243324344,1122112333243444,1211123322434434,1111232224343344,1112322143432434,1123211434223344,1231114232233444,1211132322334444
83	1111223223433444	16	1111223223433444,1112232134324434,1122311342243344,1213112422333444,1121123223334444,1211232133244434,1112321322443344,1123213214432434,1231122143324344,1211221333243444,1112213322434434,1122133214344234,1211322143432344,1112221334323444,1122113342234434,1211132422343344
84	1111223223434344	16	1111223223434344,1112232134342434,1122311342423344,1213112423233444,1121123232334444,1211232313244434,1112323122443344,1123231214432434,1231212143324344,1212121333243444,1121213322434434,1212133214344234,1121322143432344,1213211434223434,1122113342234344,1211132422343434
85	1111223223434434	16	1111223223434434,1112232134344234,1122311342432344,1213112423323444,1121123233234444,1211232331244434,1112323212443344,1123231124432434,1231211243324344,1212112333243444,1121123322434434,1211233214344234,1112322143432344,1123211434223434,1231114232234344,1211132322343444
86	1111223223443344	16	1111223223443344,1112232134432434,1122311344223344,1213112432233444,1121123322334444,1211233213244434,1112322132443344,1123211324432434,1231112243324344,1211122333243444,1111223322434434,1112233214344234,1122331142432344,1213211423323444,1122113233234444,1211132322344434
87	1111223223443434	16	1111223223443434,1112232134434234,1122311344232344,1213112432323444,1121123323234444,1211233231244434,1112322312443344,1123213124432434,1231121243324344,1211212333243444,1112123322434434,1121233214344234,1212331142432344,1123211423323444,1231114232234434,1211132322344344
88	1111223224334344	16	1111223224334344,1112232143342434,1122311432423344,1213114223233444,1121132232334444,1211322313244434,1112223132443344,1122131324432434,1211312243324344,1112122333243444,1121223331424434,1212133214243344,1121322142333444,1213211423324434,1122113233244344,1211132322443434
89	1111223224334434	16	1111223224334434,1112232143344234,1122311432432344,1213114223323444,1121132233234444,1211322331244434,1112223312443344,1122133124432434,1211321243324344,1112212333243444,1122123331424434,1211233214243344,1112322142333444,1123211423324434,1231114232243344,1211132322433444
90	1111223224343344	16	1111223224343344,1112232143432434,1122311434223344,1213114232233444,1121132322334444,1211323213244434,1112232132443344,1122311324432434,1213112243324344,1121122333243444,1211223331424434,1112233214243344,1122331142432434,1213211423324344,1122113233243444,1211132322434434
91	1111223224343434	16	1111223224343434,1112232143434234,1122311434232344,1213114232323444,1121132323234444,1211323231244434,1112232312443344,1122313124432434,1213121243324344,1121212333243444,1212123331424434,1121233214243344,1212331142432434,1123211423324344,1231114232243434,1211132322434344
92	1111223232343444	16	1111223232343444,1112232313424434,1122313124243344,1213121242333444,1121212323334444,1212123133244434,1121231322443344,1212313214432434,1123122143324344,1231211432243434,1212113322434344,1121132224343434,1211322143434234,1112221334342344,1122113342423434,1211132423234344
93	1111223232344344	16	1111223232344344,1112232313442434,1122313124423344,1213121243233444,1121212332334444,1212123313244434,1121233122443344,1212331214432434,1123212143324344,1231121432243434,1211213322434344,1112132224343434,1121322143434234,1213211434232344,1122113342323444,1211132423234434
94	1111223232344434	16	1111223232344434,1112232313444234,1122313124432344,1213121243323444,1121212333234444,1212123331244434,1121233212443344,1212331124432434,1123211243324344,1231112432243434,1211123322434344,1111232224343434,1112322143434234,1123211434232344,1231114232323444,1211132323234444
95	1111223232433444	16	1111223232433444,1112232314324434,1122313142243344,1213121422333444,1121213223334444,1212132133244434,1121321322443344,1213213214432434,1122132143324344,1211321432243434,1112213322434344,1122133214342434,1211322143423344,1112221334233444,1122113342324434,1211132423243344
96	1111223232434344	16	1111223232434344,1112232314342434,1122313142423344,1213121423233444,1121213232334444,1212132313244434,1121323122443344,1213231214432434,1122312143324344,1213121432243434,1121213322434344,1212133214342434,1121322143423344,1213211434232434,1122113342324344,1211132423243434
97	1111223232434434	16	1111223232434434,1112232314344234,1122313142432344,1213121423323444,1121213233234444,1212132331244434,1121323212443344,1213231124432434,1122311243324344,1213112432243434,1121123322434344,1211233214342434,1112322143423344,1123211434232434,1231114232324344,1211132323243444
98	1111223232443344	16	1111223232443344,1112232314432434,1122313144223344,1213121432233444,1121213322334444,1212133213244434,1121322132443344,1213211324432434,1122113243324344,1211132432243434,1111223322434344,1112233214342434,1122331142423344,1213211423233444,1122113232334444,1211132323244434
99	1111223232443434	16	1111223232443434,1112232314434234,1122313144232344,1213121432323444,1121213323234444,1212133231244434,1121322312443344,1213213124432434,1122131243324344,1211312432243434,1112123322434344,1121233214342434,1212331142423344,1123211423233444,1231114232324434,1211132323244344
100	1111223233243444	16	1111223233243444,1112232331424434,1122313214243344,1213122142333444,1121221323334444,1212113233244434,1121132322443344,1211323214432434,1112232143324344,1122311432243434,1213114222334344,1121132223343444,1211322133424434,1112221334243344,1122113342432434,1211132423324344
101	1111223233244344	16	1111223233244344,1112232331442434,1122313214423344,1213122143233444,1121221332334444,1212113323244434,1121132232443344,1211322314432434,1112223143324344,1122131432243434,1211314222334344,1112132223343444,1121322133424434,1213211324243344,1122113242333444,1211132423324434
102	1111223233244434	16	1111223233244434,1112232331444234,1122313214432344,1213122143323444,1121221333234444,1212113322344434,1121132223443344,1211322134432434,1112221343324344,1122113432243434,1211134222334344,1111232223343444,1112322133424434,1123211324243344,1231112242333444,1211122323334444
103	1111223233423444	16	1111223233423444,1112232334124434,1122313241243344,1213122412333444,1121223123334444,1212131233244434,1121312322443344,1213123214432434,1121232143324344,1212311432243434,1123114222334344,1231142213342434,1211322133424344,1112221334243434,1122113342434234,1211132423342344
104	1111223233424344	16	1111223233424344,1112232334142434,1122313241423344,1213122413233444,1121223132334444,1212131323244434,1121312232443344,1213122314432434,1121223143324344,1212131432243434,1121314222334344,1213142213342434,1121322133424344,1213211324243434,1122113242334344,1211132423342434
105	1111223233424434	16	1111223233424434,1112232334144234,1122313241432344,1213122413323444,1121223133234444,1212131322344434,1121312223443344,1213122134432434,1121221343324344,1212113432243434,1121134222334344,1211342213342434,1112322133424344,1123211324243434,1231112242334344,1211122323343444
106	1111223233442344	16	1111223233442344,1112232334412434,1122313244123344,1213122431233444,1121223312334444,1212133123244434,1121321232443344,1213212314432434,1122123143324344,1211231432243434,1112314222334344,1123142213342434,1231421132423344,1213211324233444,1122113242334434,1211132423344234
107	1111223233442434	16	1111223233442434,1112232334414234,1122313244132344,1213122431323444,1121223313234444,1212133122344434,1121321223443344,1213212134432434,1122121343324344,1211213432243434,1112134222334344,1121342213342434,1213421132423344,1123211324233444,1231112242334434,1211122323344344
108	1111223233444234	16	1111223233444234,1112232334441234,1122313244312344,1213122433123444,1121223331234444,1212133212344434,1121322123443344,1213211234432434,1122112343324344,1211123432243434,1111234222334344,1112342213342434,1123421132423344,1234111223233444,1231112232334444,1211122323344434
109	1111223234233444	16	1111223234233444,1112232341324434,1122313412243344,1213124122333444,1121231223334444,1212312133244434,1123121322443344,1231213214432434,1212132143324344,1121321432243434,1213214321434234,1122133214342344,1211322143423434,1112221334234344,1122113342342434,1211132423423344
110	1111223234234344	16	1111223234234344,1112232341342434,1122313412423344,1213124123233444,1121231232334444,1212312313244434,1123123122443344,1231231214432434,1212312143324344,1123121432243434,1231214321434234,1212133214342344,1121322143423434,1213211434234234,1122113342342344,1211132423423434
