index	original_representative	transpose_word	original_tableau	transpose_tableau
97	1111223232434434	1234121324132344	[[1,2,3,4],[5,6,8,10],[7,9,12,15],[11,13,14,16]]	[[1,5,7,11],[2,6,9,13],[3,8,12,14],[4,10,15,16]]
98	1111223232443344	1234121324123434	[[1,2,3,4],[5,6,8,10],[7,9,13,14],[11,12,15,16]]	[[1,5,7,11],[2,6,9,12],[3,8,13,15],[4,10,14,16]]
99	1111223232443434	1234121324123344	[[1,2,3,4],[5,6,8,10],[7,9,13,15],[11,12,14,16]]	[[1,5,7,11],[2,6,9,12],[3,8,13,14],[4,10,15,16]]
100	1111223233243444	1234121323414234	[[1,2,3,4],[5,6,8,11],[7,9,10,13],[12,14,15,16]]	[[1,5,7,12],[2,6,9,14],[3,8,10,15],[4,11,13,16]]
101	1111223233244344	1234121323412434	[[1,2,3,4],[5,6,8,11],[7,9,10,14],[12,13,15,16]]	[[1,5,7,12],[2,6,9,13],[3,8,10,15],[4,11,14,16]]
102	1111223233244434	1234121323412344	[[1,2,3,4],[5,6,8,11],[7,9,10,15],[12,13,14,16]]	[[1,5,7,12],[2,6,9,13],[3,8,10,14],[4,11,15,16]]
103	1111223233423444	1234121323144234	[[1,2,3,4],[5,6,8,12],[7,9,10,13],[11,14,15,16]]	[[1,5,7,11],[2,6,9,14],[3,8,10,15],[4,12,13,16]]
104	1111223233424344	1234121323142434	[[1,2,3,4],[5,6,8,12],[7,9,10,14],[11,13,15,16]]	[[1,5,7,11],[2,6,9,13],[3,8,10,15],[4,12,14,16]]
105	1111223233424434	1234121323142344	[[1,2,3,4],[5,6,8,12],[7,9,10,15],[11,13,14,16]]	[[1,5,7,11],[2,6,9,13],[3,8,10,14],[4,12,15,16]]
106	1111223233442344	1234121323124434	[[1,2,3,4],[5,6,8,13],[7,9,10,14],[11,12,15,16]]	[[1,5,7,11],[2,6,9,12],[3,8,10,15],[4,13,14,16]]
107	1111223233442434	1234121323124344	[[1,2,3,4],[5,6,8,13],[7,9,10,15],[11,12,14,16]]	[[1,5,7,11],[2,6,9,12],[3,8,10,14],[4,13,15,16]]
108	1111223233444234	1234121323123444	[[1,2,3,4],[5,6,8,14],[7,9,10,15],[11,12,13,16]]	[[1,5,7,11],[2,6,9,12],[3,8,10,13],[4,14,15,16]]
109	1111223234233444	1234121321434234	[[1,2,3,4],[5,6,8,11],[7,9,12,13],[10,14,15,16]]	[[1,5,7,10],[2,6,9,14],[3,8,12,15],[4,11,13,16]]
110	1111223234234344	1234121321432434	[[1,2,3,4],[5,6,8,11],[7,9,12,14],[10,13,15,16]]	[[1,5,7,10],[2,6,9,13],[3,8,12,15],[4,11,14,16]]
111	1111223234234434	1234121321432344	[[1,2,3,4],[5,6,8,11],[7,9,12,15],[10,13,14,16]]	[[1,5,7,10],[2,6,9,13],[3,8,12,14],[4,11,15,16]]
112	1111223234243344	1234121321423434	[[1,2,3,4],[5,6,8,11],[7,9,13,14],[10,12,15,16]]	[[1,5,7,10],[2,6,9,12],[3,8,13,15],[4,11,14,16]]
113	1111223234243434	1234121321423344	[[1,2,3,4],[5,6,8,11],[7,9,13,15],[10,12,14,16]]	[[1,5,7,10],[2,6,9,12],[3,8,13,14],[4,11,15,16]]
114	1111223234323444	1234121321344234	[[1,2,3,4],[5,6,8,12],[7,9,11,13],[10,14,15,16]]	[[1,5,7,10],[2,6,9,14],[3,8,11,15],[4,12,13,16]]
115	1111223234324344	1234121321342434	[[1,2,3,4],[5,6,8,12],[7,9,11,14],[10,13,15,16]]	[[1,5,7,10],[2,6,9,13],[3,8,11,15],[4,12,14,16]]
116	1111223234324434	1234121321342344	[[1,2,3,4],[5,6,8,12],[7,9,11,15],[10,13,14,16]]	[[1,5,7,10],[2,6,9,13],[3,8,11,14],[4,12,15,16]]
117	1111223234342344	1234121321324434	[[1,2,3,4],[5,6,8,13],[7,9,11,14],[10,12,15,16]]	[[1,5,7,10],[2,6,9,12],[3,8,11,15],[4,13,14,16]]
118	1111223234342434	1234121321324344	[[1,2,3,4],[5,6,8,13],[7,9,11,15],[10,12,14,16]]	[[1,5,7,10],[2,6,9,12],[3,8,11,14],[4,13,15,16]]
119	1111223234344234	1234121321323444	[[1,2,3,4],[5,6,8,14],[7,9,11,15],[10,12,13,16]]	[[1,5,7,10],[2,6,9,12],[3,8,11,13],[4,14,15,16]]
120	1111223234423344	1234121321243434	[[1,2,3,4],[5,6,8,12],[7,9,13,14],[10,11,15,16]]	[[1,5,7,10],[2,6,9,11],[3,8,13,15],[4,12,14,16]]
121	1111223234423434	1234121321243344	[[1,2,3,4],[5,6,8,12],[7,9,13,15],[10,11,14,16]]	[[1,5,7,10],[2,6,9,11],[3,8,13,14],[4,12,15,16]]
122	1111223234432344	1234121321234434	[[1,2,3,4],[5,6,8,13],[7,9,12,14],[10,11,15,16]]	[[1,5,7,10],[2,6,9,11],[3,8,12,15],[4,13,14,16]]
123	1111223234432434	1234121321234344	[[1,2,3,4],[5,6,8,13],[7,9,12,15],[10,11,14,16]]	[[1,5,7,10],[2,6,9,11],[3,8,12,14],[4,13,15,16]]
124	1111223234434234	1234121321233444	[[1,2,3,4],[5,6,8,14],[7,9,12,15],[10,11,13,16]]	[[1,5,7,10],[2,6,9,11],[3,8,12,13],[4,14,15,16]]
125	1111223242333444	1234121314234234	[[1,2,3,4],[5,6,8,10],[7,11,12,13],[9,14,15,16]]	[[1,5,7,9],[2,6,11,14],[3,8,12,15],[4,10,13,16]]
126	1111223242334344	1234121314232434	[[1,2,3,4],[5,6,8,10],[7,11,12,14],[9,13,15,16]]	[[1,5,7,9],[2,6,11,13],[3,8,12,15],[4,10,14,16]]
127	1111223242334434	1234121314232344	[[1,2,3,4],[5,6,8,10],[7,11,12,15],[9,13,14,16]]	[[1,5,7,9],[2,6,11,13],[3,8,12,14],[4,10,15,16]]
128	1111223242343344	1234121314223434	[[1,2,3,4],[5,6,8,10],[7,11,13,14],[9,12,15,16]]	[[1,5,7,9],[2,6,11,12],[3,8,13,15],[4,10,14,16]]
129	1111223242343434	1234121314223344	[[1,2,3,4],[5,6,8,10],[7,11,13,15],[9,12,14,16]]	[[1,5,7,9],[2,6,11,12],[3,8,13,14],[4,10,15,16]]
130	1111223243233444	1234121312434234	[[1,2,3,4],[5,6,8,11],[7,10,12,13],[9,14,15,16]]	[[1,5,7,9],[2,6,10,14],[3,8,12,15],[4,11,13,16]]
131	1111223243234344	1234121312432434	[[1,2,3,4],[5,6,8,11],[7,10,12,14],[9,13,15,16]]	[[1,5,7,9],[2,6,10,13],[3,8,12,15],[4,11,14,16]]
132	1111223243234434	1234121312432344	[[1,2,3,4],[5,6,8,11],[7,10,12,15],[9,13,14,16]]	[[1,5,7,9],[2,6,10,13],[3,8,12,14],[4,11,15,16]]
133	1111223243243344	1234121312423434	[[1,2,3,4],[5,6,8,11],[7,10,13,14],[9,12,15,16]]	[[1,5,7,9],[2,6,10,12],[3,8,13,15],[4,11,14,16]]
134	1111223243243434	1234121312423344	[[1,2,3,4],[5,6,8,11],[7,10,13,15],[9,12,14,16]]	[[1,5,7,9],[2,6,10,12],[3,8,13,14],[4,11,15,16]]
